"DateTime","Players","Players Trend"
"2023-04-23 20:00:00",8548,16825.776124338627
"2023-04-23 20:10:00",8144,16819.569179205246
"2023-04-23 20:20:00",7911,16813.788077325837
"2023-04-23 20:30:00",7702,16807.670696924604
"2023-04-23 20:40:00",7424,16801.388310185186
"2023-04-23 20:50:00",7207,16795.602678571428
"2023-04-23 21:00:00",7026,16789.97098214286
"2023-04-23 21:10:00",6709,16784.170907049163
"2023-04-23 21:20:00",6504,16779.03734016755
"2023-04-23 21:30:00",6296,16774.1851541832
"2023-04-23 21:40:00",6090,16769.43965636023
"2023-04-23 21:50:00",5813,16764.521291473768
"2023-04-23 22:00:00",5611,16759.633680555555
"2023-04-23 22:10:00",5396,16754.684420469577
"2023-04-23 22:20:00",5242,16750.15625688933
"2023-04-23 22:30:00",4993,16745.87609540344
"2023-04-23 22:40:00",4779,16741.986331569664
"2023-04-23 22:50:00",4618,16738.552786044977
"2023-04-23 23:00:00",4487,16735.46773726852
"2023-04-23 23:10:00",4288,16732.50226658951
"2023-04-23 23:20:00",4157,16729.661403218695
"2023-04-23 23:30:00",4094,16727.092819940477
"2023-04-23 23:40:00",4022,16724.888482418428
"2023-04-23 23:50:00",3884,16722.65215429343
"2023-04-24 00:00:00",3843,16720.93353174603
"2023-04-24 00:10:00",3786,16719.280502507718
"2023-04-24 00:20:00",3752,16717.710441468254
"2023-04-24 00:30:00",3805,16716.30178364749
